,날짜,언론사,기사제목,링크
0, 2023.04.24 16:43,비즈워치,1000억 유상증자 인텔리안테크…주가는 18% 급락,https://finance.naver.com/item/news_read.naver?article_id=0000015753&office_id=648&code=189300&page=1&sm=
1, 2023.04.24 09:21,조선비즈,"[특징주] 인텔리안테크, 1000억원 규모 유상증자 결정 ‘급락’",https://finance.naver.com/item/news_read.naver?article_id=0000895999&office_id=366&code=189300&page=1&sm=
2, 2023.04.24 09:18,한국경제,"'1000억 유상증자' 인텔리안테크, 주가 17% '하락'",https://finance.naver.com/item/news_read.naver?article_id=0004836223&office_id=015&code=189300&page=1&sm=
3, 2023.04.24 09:11,이데일리,"[특징주]인텔리안테크, 1000억 규모 유상증자 결정에 16%대 급락",https://finance.naver.com/item/news_read.naver?article_id=0005470556&office_id=018&code=189300&page=1&sm=
4, 2023.04.24 08:37,한국경제,"""'유상증자' 인텔리안테크, 단기 주가 악영향…목표가↓""-유진",https://finance.naver.com/item/news_read.naver?article_id=0004836196&office_id=015&code=189300&page=1&sm=
5, 2023.04.24 15:17,파이낸셜뉴스,"DS증권 ""인텔리안테크, 유증 여파 단기조정 불가피..장기보유 측면에선...",https://finance.naver.com/item/news_read.naver?article_id=0005001551&office_id=014&code=189300&page=1&sm=
6, 2023.04.21 16:42,이데일리,"인텔리안테크, 1000억 규모 유상증자 결정",https://finance.naver.com/item/news_read.naver?article_id=0005468989&office_id=018&code=189300&page=1&sm=
7, 2023.03.28 08:54,조선비즈,"이베스트證 “인텔리안테크, 국내 유일한 저궤도 위성통신 수혜주”",https://finance.naver.com/item/news_read.naver?article_id=0000888471&office_id=366&code=189300&page=1&sm=
8, 2023.03.28 08:33,아시아경제,"[클릭 e종목]“인텔리안테크, 글로벌 1위 위성통신 안테나…큰 폭 실...",https://finance.naver.com/item/news_read.naver?article_id=0005236943&office_id=277&code=189300&page=1&sm=
9, 2023.03.21 08:51,이데일리,"인텔리안테크, 초소형위성송수신국 안테나 호실적 전망…목표가↑-유진",https://finance.naver.com/item/news_read.naver?article_id=0005446299&office_id=018&code=189300&page=1&sm=
10, 2023.03.06 11:22,한국경제,"""인텔리안테크, 저궤도 위성통신 수혜주""",https://finance.naver.com/item/news_read.naver?article_id=0004817456&office_id=015&code=189300&page=1&sm=
11, 2023.02.24 19:21,서울경제,벤처기업협회 회장에 성상엽 인텔리안테크놀로지스 대표,https://finance.naver.com/item/news_read.naver?article_id=0004160465&office_id=011&code=189300&page=1&sm=
12, 2023.02.06 16:42,헤럴드경제,"인텔리안테크, 지난해 영업익 150억…전년비 573.9% ↑",https://finance.naver.com/item/news_read.naver?article_id=0002099973&office_id=016&code=189300&page=1&sm=
13, 2022.12.27 10:47,이데일리,"인텔리안테크, 1주당 100원 현금배당 결정",https://finance.naver.com/item/news_read.naver?article_id=0005394767&office_id=018&code=189300&page=1&sm=
14, 2022.11.21 08:11,한국경제,"""인텔리안테크, 네옴시티 통신망 구축 수혜 예상""-하나",https://finance.naver.com/item/news_read.naver?article_id=0004777110&office_id=015&code=189300&page=1&sm=
